stat_id	stat_nm	lat	lon	link_id	dist_m
BNAH3801	성북구 보건소	37.602587	127.03942	1005003800	2.78
BNAI4405	국민대 앞 공영주차장	37.609472	126.995815	1070001300	36.24
BNAJ5402	서울본부세관	37.518303	127.033965	1220033000	107.21
BNBN0037	서울 영등포구 KBS 별관	37.518669	126.929118	1180019200	142.6
BNBN0058	서울 강북구 장미원시장 공영주차장	37.6444975	127.0119167	1080011600	159.02
BNBN0063	중구 청구 공영주차장	37.5588975	127.0133552	1010001700	56.85
BNBN0070	서울 성북구 장위3동 마을공원 공영주차장	37.6171752	127.0528503	1070020803	157.6
BNBN0071	중구 동산 공영주차장	37.5563343	127.0159693	1030014900	320.97
BNBN0072	중구 신당동 공영주차장	37.5620232	127.0144255	1030015000	193.58
BNBN0076	중구 중림어르신데이케어센터	37.5594559	126.9661931	1010003200	78.95
BNBN0079	중구 동화동 공영주차장	37.561493	127.0188986	1030015000	176.7
BNBN0084	서울 성북구 길음환승주차장	37.6040589	127.0257971	1070013000	29.84
BNBN0090	서울 강서구 마곡노블리안아파트	37.571569	126.81761	1150019500	75.54
BNBN0101	서울 성북구 경동고 공영주차장 지하1층	37.586122	127.014929	1000016700	275.35
BNBN0102	서울 성북구 벤처창업지원센터 주차장	37.5450671	127.08171	1040013000	28.85
BNBN0105	영등포구 신길4동 1마을공원 공영주차장	37.5083741	126.9112832	1180012700	45.06
BNBN0106	영등포구 대림어린이공원 공영주차장	37.4911274	126.9034401	1180006300	56.02
BNBN0154	영등포구 대림2동 중앙시장 공영주차장	37.4915718	126.8997046	1180006000	172.71
BNBN0157	서울 금천구 독산2동 공영주차장	37.46394	126.899975	1170003000	216.04
BNBN0177	영등포구 신길환승5호선 공영주차장	37.5177129	126.9145095	1180018400	101.25
BNBN0178	영등포구 대림1동 공영주차장	37.4931492	126.9016302	1180006600	31.93
BNBN0180	영등포구 대림운동장 공영주차장	37.4997082	126.8946462	1160012500	139.87
