addr	busi_call	busi_id	lat	lng	note	stat_id	stat_nm	year	zcode	zscode
서울특별시 노원구 덕릉로112길 24	1661-7766	EV	37.665545557	127.07928437	외부인 사용불가	EV004656	서울노원 청암1단지3	2021	11	11350
서울특별시 마포구 서강로9길 45	1661-7766	EV	37.5526601	126.9313805	외부인 사용불가	EV004659	서울마포 신촌태영데시앙2	2022	11	11440
서울특별시 동대문구 천호대로97길 61	1661-7766	EV	37.5636587	127.071359	외부인 사용불가	EV004691	서울동대문구 월드메르디앙2차아파트	2020	11	11230
서울특별시 구로구 디지털로33길 55	1661-7766	EV	37.4867586	126.8930445	외부인 사용불가	EV004692	서울구로구 이앤씨벤처드림타워2차	2022	11	11530
서울특별시 종로구 통일로18길 9	1661-7766	EV	37.5776707	126.9553549	외부인 사용불가	EV004720	서울종로 인왕산아이파크 103동	2021	11	11110
서울특별시 종로구 통일로18길 9	1661-7766	EV	37.5776707	126.9553549	외부인 사용불가	EV004721	서울종로 인왕산아이파크 113동	2021	11	11110
서울특별시 종로구 통일로18길 9	1661-7766	EV	37.5776707	126.9553549	외부인 사용불가	EV004722	서울종로 인왕산아이파크 104동	2021	11	11110
서울특별시 종로구 통일로18길 9	1661-7766	EV	37.5776707	126.955354	외부인 사용불가	EV004723	서울종로 인왕산아이파크 106동	2021	11	11110
서울특별시 강서구 마곡서로 175	1661-7766	EV	37.5689081	126.8242325	외부인 사용불가	EV004775	서울강서 마곡엠벨리4단지403동	2022	11	11500
서울특별시 강서구 마곡서로 175	1661-7766	EV	37.5689081	126.8242325	외부인 사용불가	EV004776	서울강서 마곡엠벨리4단지405동	2022	11	11500
서울특별시 송파구 충민로 52	1661-7766	EV	37.4777176	127.122746	누구나 사용 가능	EV004799	서울송파 가든파이브웍스1(B3)(급속)	2022	11	11710
서울특별시 강북구 오현로31길 89	1661-7766	EV	37.6317188	127.0355846	외부인 사용불가	EV004819	서울강북 오동공원현대홈타운	2022	11	11305
서울특별시 송파구 위례광장로 121	1661-7766	EV	37.476865	127.1382163	외부인 사용불가	EV004850	서울송파 송파꿈에그린아파트2405동	2021	11	11710
서울특별시 송파구 위례광장로 121	1661-7766	EV	37.476865	127.1382163	외부인 사용불가	EV004851	서울송파 송파꿈에그린아파트2401동	2022	11	11710
서울특별시 송파구 위례광장로 121	1661-7766	EV	37.476865	127.1382163	외부인 사용불가	EV004852	서울송파 송파꿈에그린아파트2420동	2021	11	11710
서울특별시 송파구 문정로 83	1661-7766	EV	37.491403647	127.13017382	외부인 사용불가	EV004874	서울송파 문정래미안아파트122동	2022	11	11710
서울특별시 송파구 문정로 83	1661-7766	EV	37.491176830	127.13158688	외부인 사용불가	EV004875	서울송파 문정래미안아파트101동	2022	11	11710
서울특별시 송파구 문정로 83	1661-7766	EV	37.489474747	127.13084891	외부인 사용불가	EV004876	서울송파 문정래미안아파트106동	2022	11	11710
서울특별시 성동구 고산자로 164	1661-7766	EV	37.5550688	127.0354241	외부인 사용불가	EV004877	서울성동 서울숲한신더휴아파트3주차장	2022	11	11200
서울특별시 성동구 고산자로 164	1661-7766	EV	37.555184123	127.03648130	외부인 사용불가	EV004878	서울성동 서울숲한신더휴아파트4주차장	2022	11	11200
서울특별시 성동구 고산자로 164	1661-7766	EV	37.555197531	127.03682648	외부인 사용불가	EV004879	서울성동 서울숲한신더휴아파트5주차장	2022	11	11200
서울특별시 강서구 방화대로47가길 22	1661-7766	EV	37.577920350	126.81453245	외부인 사용불가	EV004967	서울강서 삼익삼환아파트1(B1)	2022	11	11500
서울특별시 강서구 방화대로47가길 22	1661-7766	EV	37.577343057	126.81411502	외부인 사용불가	EV004968	서울강서 삼익삼환아파트2(B1)	2022	11	11500
서울특별시 강서구 방화대로47가길 22	1661-7766	EV	37.576867848	126.81415583	외부인 사용불가	EV004969	서울강서 삼익삼환아파트3(B2)	2022	11	11500
서울특별시 강서구 방화대로47가길 22	1661-7766	EV	37.576795054	126.81513524	외부인 사용불가	EV004970	서울강서 삼익삼환아파트4(B1)	2022	11	11500
서울특별시 마포구 대흥로 175	1661-7766	EV	37.555000785	126.94400215	외부인 사용불가	EV005016	서울마포 신촌그랑자이1	2022	11	11440
